ID,plot_order,pop
BM288,18,Eam
GN71,21,Eam
H1907,6,Wam
H1911,4,Wam
H2546,7,Wam
IBSPCRIB0361,34,AF
ICST764,31,AF
JFT459,37,AF
JFT773,38,AF
LG1299,44,AF
LSUMZH12577,12,Wam
LSUMZH12751,11,Wam
LSUMZH13910,14,Eam
LSUMZH14100,8,Wam
LSUMZH14336,19,Eam
LSUMZH15476,9,Wam
MPEG20846,22,Eam
MPEG21348,3,Wam
MPEG22415,28,Eam
MPEG24758,17,Eam
MPEG26102,29,Eam
MPEG28489,24,Eam
MPEG29314,16,Eam
MPEG29943,20,Eam
MTR05978,33,AF
MTR12338,36,AF
MTR12511,46,AF
MTR15267,40,AF
MTR17744,39,AF
MTR18550,1,Wam
MTR20798,25,Eam
MTR21474,27,Eam
MTR21545,35,AF
MTR25584,2,Wam
MTR28048,26,Eam
MTR28401,15,Eam
MTR28593,13,Eam
MTR34227,43,AF
MTR34414,45,AF
MTR976723,23,Eam
MTR978312,30,Eam
MTRX1468,42,AF
MTRX1478,41,AF
MUFAL9635,32,AF
PJD409,10,Wam
UNIBAN1670,5,Wam
