order,genus,species,genetics,voucher_ID,country,state_province,biome,locality,latitude,longitude,source,bio_1,bio_2,bio_3,bio_4,bio_5,bio_6,bio_7,bio_8,bio_9,bio_10,bio_11,bio_12,bio_13,bio_14,bio_15,bio_16,bio_17,bio_18,bio_19
105,Anolis,punctatus,no,MCZ_R-93413,Ecuador,Pastaza,Amazonia,Ecuador: Lower Rio Pucayacu tributary of Rio Bobonanza,-1.9534,-77.0022,VertNet,248,99,87,492,306,193,113,245,252,253,241,3223,338,209,16,941,646,804,860
106,Anolis,punctatus,no,MHNLS17698,Venezuela,Amazonas,Amazonia,Atures: 12 km South of Puerto Ayacucho,5.3591,-67.6687,Google Earth,279,101,75,1018,357,223,134,268,287,292,265,2388,408,32,66,1140,135,150,1137
107,Anolis,punctatus,no,MPEG22857,Brazil,Para,Amazonia,Almeirim,-0.94,-53.2376,Museu Paraense Emilio Goeldi,268,89,82,618,329,221,108,262,275,276,260,1929,284,49,51,792,160,203,636
108,Anolis,punctatus,no,MPEG26101,Brazil,Para,Amazonia,Portel: FLONA Caxiuana,-1.9833,-51.6333,Museu Paraense Emilio Goeldi,267,97,86,441,328,216,112,264,272,273,261,2247,335,56,56,974,188,196,859
109,Anolis,punctatus,no,MPEG26911,Brazil,Amazonas,Amazonia,Coari,-4.8955,-65.1892,Museu Paraense Emilio Goeldi,264,91,82,294,320,210,110,264,261,267,260,2643,337,89,39,939,307,576,446
110,Anolis,punctatus,no,MPEG29591,Brazil,Para,Amazonia,Rio Preto Flona Charapucu Afua: Ilha do Marajo,-0.586,-50.4751,Museu Paraense Emilio Goeldi,270,84,84,492,326,226,100,263,276,276,263,3105,480,74,54,1315,255,339,1315
111,Anolis,punctatus,no,MTR25604,Brazil,Rondonia,Amazonia,P. N. Serra dos Pacaas Novos,-10.7864,-63.6276,Ivan Prates,244,118,73,531,325,164,161,243,240,251,237,2099,330,22,63,947,95,304,147
112,Anolis,punctatus,no,MTR26005,Brazil,Rondonia,Amazonia,P. N. Serra dos Pacaas Novos: Base do Jaci,-10.5273,-63.9735,Ivan Prates,258,113,73,553,334,181,153,257,253,265,250,2006,311,23,60,888,91,306,159
113,Anolis,punctatus,no,MTR28515,Brazil,Acre,Amazonia,Serra do Divisor,-7.4279,-73.6618,Ivan Prates,257,106,76,606,323,185,138,259,248,262,248,2463,320,83,37,853,283,740,374
114,Anolis,punctatus,no,MTR35938,Brazil,Amazonas,Amazonia,Rio Ica,-2.8862,-68.372,Miguel T. Rodrigues,255,91,86,330,308,203,105,255,253,258,250,3370,334,206,15,968,654,729,836
115,Anolis,punctatus,no,MTR36414,Brazil,Amazonas,Amazonia,Rio Ica,-3.032,-68.884,Miguel T. Rodrigues,256,91,87,338,309,205,104,257,255,260,251,3428,356,213,16,1017,660,889,802
116,Anolis,punctatus,no,MTR36892,Brazil,Amazonas,Amazonia,Alvaraes,-3.1989,-64.8224,Miguel T. Rodrigues,268,90,86,270,322,218,104,266,269,271,264,2669,311,126,27,886,419,482,767
117,Anolis,punctatus,no,MTR967985,Brazil,Mato Grosso,Amazonia,Colniza: Rio Aripuana,-9.1793,-60.6306,Google Earth,253,117,68,446,337,166,171,252,249,258,247,2123,359,7,70,999,51,276,108
118,Anolis,punctatus,no,MTR976158,Brazil,Mato Grosso,Amazonia,Claudia,-11.585,-55.1356,Miguel T. Rodrigues,248,144,69,804,349,141,208,248,241,257,237,1892,312,1,78,924,13,492,50
119,Anolis,punctatus,no,MVZ_163059,Peru,Amazonas,Amazonia,vicinity of Huampami (Aguaruna village) Rio Cenepa,-4.4556,-78.1612,VertNet,255,100,85,442,316,199,117,255,249,260,248,2620,277,178,13,758,559,633,582
120,Anolis,punctatus,no,OMNH_37167,Brazil,Amazonas,Amazonia,Rio Ituxi Madeirera Scheffer,-7.3,-64.85,VertNet,264,101,76,350,329,197,132,263,260,268,258,2297,316,39,52,915,156,529,247
121,Anolis,punctatus,no,ROM_20513,Guyana,Essequibo,Amazonia,Kurupukari road in forest approx 1 km east of river,4.6639,-58.675,VertNet,270,87,79,596,328,218,110,268,278,278,262,2301,388,68,50,1010,272,272,449
122,Anolis,punctatus,no,ROM_28351,Guyana,District 8,Amazonia,Paramakatoi vicinity on trail to lookout,4.6972,-59.7867,VertNet,232,94,83,442,292,179,113,230,238,238,228,1602,264,51,56,753,186,186,252
123,Anolis,punctatus,no,SMNS_619,Suriname,,Amazonia,Suriname,3.9194,-56.3461,VertNet,268,89,76,722,335,219,116,264,279,279,260,2594,426,40,54,1129,185,185,664
124,Anolis,punctatus,no,UFMG-REP_1478,Brazil,Para,Amazonia,Maraba Vila Uniao,-5.3686,-49.1178,Specieslink CRIA,269,98,81,301,332,212,120,266,272,273,265,1832,345,14,78,942,61,82,644
125,Anolis,punctatus,no,UFMT-R_10077,Brazil,Mato Grosso,Amazonia,Claudia Fazenda Continental; area torre; L2B7,-11.5153,-54.8914,Specieslink CRIA,249,145,69,776,349,141,208,248,241,257,238,1958,321,1,78,950,13,511,50
126,Anolis,punctatus,no,UFMT-R_4936,Brazil,Mato Grosso,Amazonia,Vale de Sao Domingos UHE Guapore margem esquerda do rio Guapore,-15.0725,-58.5744,Specieslink CRIA,238,133,72,1327,318,134,184,246,222,249,216,1551,280,11,71,717,53,359,79
127,Anolis,punctatus,no,UFMT-R_5699,Brazil,Mato Grosso,Amazonia,Guaranta do Norte PCH Braco norte IV,-9.6808,-54.9605,Specieslink CRIA,252,144,68,618,361,152,209,245,249,258,245,2393,382,12,69,1071,53,372,1071
128,Anolis,punctatus,no,UFMT-R_7362,Brazil,Mato Grosso,Amazonia,Juina Ponto 1; corrego priximo a base da Diagem Mineradora,-11.5308,-59.323,Specieslink CRIA,236,130,68,606,325,134,191,236,228,241,226,1918,351,5,76,946,35,443,68
129,Anolis,punctatus,no,UFMT-R_8164,Brazil,Mato Grosso,Amazonia,Paranaita TPPAR-P4; modulo 6; Rio Paranaita,-9.5819,-56.711,Specieslink CRIA,255,133,67,563,353,157,196,252,250,262,249,2263,379,11,69,1017,49,324,112
130,Anolis,punctatus,no,UFMT-R_8367,Brazil,Mato Grosso,Amazonia,Cotriguacu Estrada,-9.8647,-58.2806,Specieslink CRIA,252,127,67,565,343,154,189,251,246,258,244,1979,357,5,74,968,47,242,82
131,Anolis,punctatus,no,UFMT-R_8834,Brazil,Mato Grosso,Amazonia,Claudia Trilha 1; Ponto 6; modulo 2; Fazenda Continental,-11.4462,-55.0494,Specieslink CRIA,251,145,69,773,352,144,208,250,243,259,240,1916,319,1,78,938,13,497,50
132,Anolis,punctatus,no,UFMT-R_9061,Brazil,Mato Grosso,Amazonia,Cotriguacu P12; Fazenda Sao Nicolau,-9.5141,-58.6786,Specieslink CRIA,251,124,67,488,341,156,185,250,246,257,245,2036,355,7,71,964,53,262,100
133,Anolis,punctatus,no,UFMT-R_9196,Brazil,Para,Amazonia,Primavera Ponto MVP-P1; Rio Tabocal; Fabrica de Cimentos Votorantim,-0.9403,-47.1164,Specieslink CRIA,262,94,81,482,327,211,116,257,268,269,257,2602,496,14,78,1372,60,115,1372
134,Anolis,punctatus,no,UFMT-R_9339,Brazil,Mato Grosso,Amazonia,Paranaita modulo 4; Sete Quedas,-9.6647,-56.4767,Specieslink CRIA,254,135,68,591,353,157,196,251,249,261,248,2298,384,9,70,1051,48,326,100
135,Anolis,punctatus,no,UFMT-R_9415,Brazil,Mato Grosso,Amazonia,Apiacas Margem do corrego Sao Tome;Acampamento;Parque Nacional do Juruena,-9.5436,-57.4492,Specieslink CRIA,254,129,67,547,348,157,191,251,249,260,248,2154,367,8,68,965,53,321,131
136,Anolis,punctatus,no,USNM_234774.63539,Ecuador,Pastaza,Amazonia,Chichirota,-2.3833,-76.65,VertNet,254,99,86,490,313,199,114,250,258,259,247,2970,314,194,15,862,620,715,792
137,Anolis,punctatus,no,USNM_234781.6353907,Ecuador,Pastaza,Amazonia,Rio OGLAN CABECERAS DEL Rio CURARAY,-1.3,-77.6333,VertNet,236,98,88,414,292,181,111,233,238,240,229,3840,427,195,21,1237,710,948,1023
138,Anolis,punctatus,no,USNM_234782.6353908,Ecuador,Pastaza,Amazonia,Rio Bobonaza Cabeceras del,-1.4667,-77.8833,VertNet,211,97,85,447,269,156,113,209,213,216,204,4481,467,280,15,1323,912,1094,1204
139,Anolis,punctatus,no,USNM_234783.6353909,Ecuador,Pastaza,Amazonia,CANELOS Rio BOBONAZA,-1.5833,-77.75,VertNet,234,97,88,417,290,180,110,232,237,238,228,3923,409,235,17,1189,796,960,1000
140,Anolis,punctatus,no,USNM_234785.6353911,Ecuador,Napo,Amazonia,Rio Pucuno,-0.7833,-77.4167,VertNet,235,100,88,392,293,180,113,231,237,239,229,3421,396,194,23,1114,639,851,1085
141,Anolis,punctatus,no,USNM_234786.6353912,Ecuador,Orellana,Amazonia,Loreto region of,-0.6667,-77.3167,VertNet,238,100,88,413,296,183,113,234,240,242,232,3351,368,189,21,1070,659,847,1028
142,Anolis,punctatus,no,USNM_288884.6132119,Brazil,Para,Amazonia,Itaituba ca. 65-66 km SW of Parque Nacional da Amazonia Rio Tapajos,-4.2833,-55.9833,VertNet,273,97,80,457,336,216,120,270,277,279,267,2153,327,59,52,921,207,246,896
143,Anolis,punctatus,no,USNM_325158.6181233,Peru,Madre de Dios,Amazonia,Rio Heath Refugio Juliaca Santuario Nacional de las Pampas del Heath,-12.95,-68.88,VertNet,254,109,73,1111,325,177,148,262,237,264,237,2235,348,63,54,950,205,876,205
144,Anolis,punctatus,no,USNM_538303.6505889,Peru,Cuzco,Amazonia,Cashiriari-3 S of the Camisea River,-11.8825,-72.7778,VertNet,254,121,80,576,327,176,151,254,246,258,246,1856,250,54,46,711,186,601,186
145,Anolis,punctatus,no,USNM_538304.650589,Peru,Cuzco,Amazonia,San Martin-3 ca. 5 km N of the Camisea River,-11.7856,-72.6992,VertNet,254,121,80,558,327,176,151,253,246,258,246,1889,252,56,46,718,192,509,192
146,Anolis,punctatus,no,USNM_566364.6554483,Guyana,East Berbice,Amazonia,Kwakwani ca. 18 mi (airline) SW of ca. 2 mi downriver from confluence of Berbice River and Kurudini River Berbice River camp,5.085,-58.2372,VertNet,269,88,78,621,328,216,112,268,277,277,260,2442,371,88,43,1012,330,330,489
147,Anolis,punctatus,no,ZEE_HERP_5758,Brazil,Acre,Amazonia,Cruzeiro do Sul Parque Nacional da Serra do Divisor,-7.4589,-73.7744,Specieslink CRIA,258,107,76,587,325,186,139,259,250,263,249,2403,313,82,37,829,280,617,367
148,Anolis,punctatus,no,ZEE_HERP_5759,Brazil,Acre,Amazonia,Cruzeiro do Sul Parque Nacional da Serra do Divisor,-8.5639,-72.8625,Specieslink CRIA,258,105,76,578,322,184,138,259,249,263,249,1882,273,35,50,730,152,588,213
149,Anolis,punctatus,no,ZEE_HERP_5760,Brazil,Acre,Amazonia,Cruzeiro do Sul Parque Nacional da Serra do Divisor,-8.2808,-73.2536,Specieslink CRIA,258,105,75,606,324,185,139,260,249,263,248,1998,280,46,45,740,187,616,252
150,Anolis,punctatus,no,ZEE_HERP_8396,Brazil,Acre,Amazonia,Marechal Thaumaturgo Tribo Indigena Kaxinawa; Rio Jordao,-8.9411,-72.7917,Specieslink CRIA,258,107,76,538,323,184,139,259,250,263,250,1617,236,32,53,643,126,504,175
151,Anolis,punctatus,no,CAS_16073,Brazil,Rio de Janeiro,Atlantic Forest,Trapacheiros Tijuca,-22.9333,-43.2333,VertNet,229,76,55,1959,298,161,137,255,205,255,205,1335,157,57,32,456,184,456,184
152,Anolis,punctatus,no,CHUNB13522,Brazil,Minas Gerais,Atlantic Forest,Uba,-21.1,-43,Ribeiro-Junior 2015 Zootaxa,218,122,61,2269,309,112,197,237,187,245,187,1312,274,16,78,684,53,536,53
153,Anolis,punctatus,no,MBML-REPTEIS_2057,Brazil,Espirito Santo,Atlantic Forest,Serra Lagoa Jacumen,-20.1286,-40.3078,Specieslink CRIA,245,82,60,1652,315,180,135,259,224,267,224,1111,185,45,47,477,159,292,159
154,Anolis,punctatus,no,MCZ_R-65579,Brazil,Paraiba,Atlantic Forest,Brasil: Mamanguape Paraiba,-6.8333,-35.1167,VertNet,256,89,72,1204,317,194,123,252,262,268,238,1294,218,23,64,596,86,298,485
155,Anolis,punctatus,no,MCZ_R-84335,Brazil,Rio de Janeiro,Atlantic Forest,Brazil: Rio de Janeiro Guanabara,-22.9167,-43.5,VertNet,227,95,58,2059,307,145,162,252,202,255,202,1378,193,44,45,534,147,529,147
156,Anolis,punctatus,no,MCZ65579,Brazil,Paraiba,Atlantic Forest,Mamanguape,-6.8,-35.2,Ribeiro-Junior 2015 Zootaxa,257,93,72,1230,321,193,128,253,263,270,238,1174,187,19,63,531,74,275,435
157,Anolis,punctatus,no,MCZ84335,Brazil,Rio de Janeiro,Atlantic Forest,Rio de Janeiro,-22.94,-43.21,Ribeiro-Junior 2015 Zootaxa,221,83,56,2017,294,147,147,246,196,248,196,1427,182,55,38,523,178,511,178
158,Anolis,punctatus,no,MTR16109,Brazil,Bahia,Atlantic Forest,Camacan: Serra Bonita,-15.4199,-39.5436,Miguel T. Rodrigues,236,78,65,1284,294,174,120,243,223,251,218,1162,141,67,24,370,232,295,244
159,Anolis,punctatus,no,MTR33102,Brazil,Bahia,Atlantic Forest,Sta Maria Eterna,-16.0554,-39.3622,Roberta Damasceno,239,77,66,1271,294,179,115,245,231,253,220,1218,158,67,23,388,252,292,271
160,Anolis,punctatus,no,MTR34337,Brazil,Bahia,Atlantic Forest,Fazenda Boa Sorte Itapebi,-15.8904,-39.5293,Roberta Damasceno,232,81,66,1368,290,168,122,239,224,247,211,1079,145,60,27,366,224,265,229
161,Anolis,punctatus,no,MTR34692,Brazil,Espirito Santo,Atlantic Forest,Rebio Augusto Ruschi Santa Tereza,-19.9171,-40.5525,based on other specimen from same locality name,200,100,64,1616,276,121,155,213,180,220,178,1322,207,41,51,588,150,416,159
162,Anolis,punctatus,no,MTR35172,Brazil,Bahia,Atlantic Forest,P. E. serra do Conduru,-14.4796,-39.0819,Roberta Damasceno,241,63,64,972,289,192,97,243,237,252,227,1936,206,118,17,560,376,493,532
163,Anolis,punctatus,no,MZUSP10408,Brazil,Espirito Santo,Atlantic Forest,Mimoso do Sul,-21.1,-41.37,Ribeiro-Junior 2015 Zootaxa,231,105,62,1900,313,146,167,248,207,255,207,1084,195,27,59,504,82,357,82
164,Anolis,punctatus,no,MZUSP13413,Brazil,Sao Paulo,Atlantic Forest,Praia de Boraceia,-23.76,-45.8,Ribeiro-Junior 2015 Zootaxa,228,75,51,2321,294,149,145,258,198,258,198,2438,316,92,38,900,301,900,301
165,Anolis,punctatus,no,MZUSP23091,Brazil,Pernambuco,Atlantic Forest,Agua Azul,-7.57,-35.33,Ribeiro-Junior 2015 Zootaxa,247,99,72,1259,317,181,136,234,252,260,228,1114,172,24,58,479,87,253,413
166,Anolis,punctatus,no,MZUSP2689,Brazil,Espirito Santo,Atlantic Forest,Linhares Refugio Sooretama,-19,-40,Ribeiro-Junior 2015 Zootaxa,243,93,64,1533,315,171,144,255,222,262,222,1201,178,42,47,507,151,358,151
167,Anolis,punctatus,no,MZUSP36382,Brazil,Rio de Janeiro,Atlantic Forest,Parque Nacional da Tijuca,-22.95,-43.3,Ribeiro-Junior 2015 Zootaxa,190,95,57,2075,269,105,164,216,164,218,164,1696,255,53,49,705,178,648,178
168,Anolis,punctatus,no,MZUSP36389,Brazil,Rio de Janeiro,Atlantic Forest,Jacarepagua prox. Represa Rio Grande,-22.92,-43.35,Ribeiro-Junior 2015 Zootaxa,231,84,56,2081,305,156,149,259,205,259,205,1209,153,44,37,438,146,438,146
169,Anolis,punctatus,no,MZUSP36713,Brazil,Espirito Santo,Atlantic Forest,Santa Cruz,-19.98,-40.21,Ribeiro-Junior 2015 Zootaxa,247,84,60,1711,318,179,139,262,228,270,225,1119,184,42,48,486,152,303,155
170,Anolis,punctatus,no,MZUSP36951,Brazil,Espirito Santo,Atlantic Forest,Rio Itaunas,-18.39,-39.73,Ribeiro-Junior 2015 Zootaxa,240,81,63,1521,304,176,128,252,219,260,219,1361,184,68,34,501,227,355,227
171,Anolis,punctatus,no,MZUSP39548,Brazil,Espirito Santo,Atlantic Forest,Reserva Florestal Vale do Rio Doce 30 km NNE Linhares,-19.17,-39.87,Ribeiro-Junior 2015 Zootaxa,242,88,62,1618,312,172,140,256,221,263,221,1232,182,45,45,512,165,354,165
172,Anolis,punctatus,no,MZUSP40607,Brazil,Sao Paulo,Atlantic Forest,Ubatuba Praia da Enseada,-23.43,-45.07,Ribeiro-Junior 2015 Zootaxa,225,94,55,2282,306,136,170,253,196,255,196,2538,339,84,44,984,280,952,280
173,Anolis,punctatus,no,MZUSP42722,Brazil,Sao Paulo,Atlantic Forest,Amparo,-22.7,-46.72,Ribeiro-Junior 2015 Zootaxa,192,117,64,2258,269,88,181,216,160,216,160,1431,276,32,67,712,119,647,119
174,Anolis,punctatus,no,MZUSP4373,Brazil,Rio de Janeiro,Atlantic Forest,Angra dos Reis,-23,-44.28,Ribeiro-Junior 2015 Zootaxa,218,104,59,2169,301,127,174,244,190,246,190,1496,239,38,56,666,127,614,127
175,Anolis,punctatus,no,MZUSP49360,Brazil,Sergipe,Atlantic Forest,Santo Amaro das Brotas Arauaris,-10.71,-37.02,Ribeiro-Junior 2015 Zootaxa,254,68,66,1195,305,203,102,252,263,267,237,1443,274,35,64,685,116,211,528
176,Anolis,punctatus,no,MZUSP55568,Brazil,Alagoas,Atlantic Forest,Sao Miguel dos Campos,-9.78,-36.08,Ribeiro-Junior 2015 Zootaxa,251,72,66,1274,307,198,109,248,257,265,233,1421,239,27,63,665,107,240,545
177,Anolis,punctatus,no,MZUSP570,Brazil,Bahia,Atlantic Forest,Ilheus,-14.8,-39.05,Ribeiro-Junior 2015 Zootaxa,247,63,61,936,296,194,102,254,247,258,233,1916,201,128,14,560,395,510,507
178,Anolis,punctatus,no,MZUSP65674,Brazil,Pernambuco,Atlantic Forest,Estacao Ecologica de Saltinho,-8.73,-35.17,Ribeiro-Junior 2015 Zootaxa,240,60,68,897,282,195,87,232,243,250,227,1884,294,40,58,852,150,385,529
179,Anolis,punctatus,no,MZUSP66150,Brazil,Bahia,Atlantic Forest,Reserva Biologica de Pau Brasil 15 km NW Porto Seguro,-16.37,-39.17,Ribeiro-Junior 2015 Zootaxa,239,77,66,1290,295,179,116,223,254,254,220,1474,156,87,18,425,297,297,381
180,Anolis,punctatus,no,MZUSP8761,Brazil,Pernambuco,Atlantic Forest,Recife Parque Zoobotanico,-8,-34.95,Ribeiro-Junior 2015 Zootaxa,252,68,70,1021,300,203,97,242,258,263,237,1686,269,30,64,794,116,341,678
181,Anolis,punctatus,no,MZUSP87750,Brazil,Bahia,Atlantic Forest,Monte Pascoal,-16.75,-39.53,Ribeiro-Junior 2015 Zootaxa,245,86,67,1432,307,179,128,250,223,261,223,1280,144,68,18,391,253,343,253
182,Anolis,punctatus,no,MZUSP88116,Brazil,Sergipe,Atlantic Forest,Areia Branca,-10.77,-37.32,Ribeiro-Junior 2015 Zootaxa,243,71,65,1291,296,188,108,230,252,257,224,1300,222,40,60,606,126,194,516
183,Anolis,punctatus,no,MZUSP89849,Brazil,Bahia,Atlantic Forest,Una,-15.17,-39.12,Ribeiro-Junior 2015 Zootaxa,240,69,63,1090,292,183,109,245,233,253,224,1520,151,95,12,416,329,409,364
184,Anolis,punctatus,no,MZUSP95077,Brazil,Minas Gerais,Atlantic Forest,Caratinga RPPN Feliciano Miguel Abdala,-19.73,-41.82,Ribeiro-Junior 2015 Zootaxa,217,124,65,1956,302,113,189,234,192,239,189,1217,228,19,73,642,63,476,78
185,Anolis,punctatus,no,MZUSP95085,Brazil,Espirito Santo,Atlantic Forest,Marechal Floriano,-20.42,-40.67,Ribeiro-Junior 2015 Zootaxa,213,96,61,1719,290,135,155,227,192,235,190,1242,197,41,49,545,143,375,160
186,Anolis,punctatus,no,MZUSP96531,Brazil,Alagoas,Atlantic Forest,Campo Alegre,-9.75,-36.3,Ribeiro-Junior 2015 Zootaxa,239,80,67,1411,301,182,119,226,251,254,219,1172,199,25,65,569,93,171,481
187,Anolis,punctatus,no,PEU112,Brazil,Bahia,Atlantic Forest,Jaguaripe,-13.1569,-39.0402,Roberta Damasceno,238,66,64,1253,290,188,102,224,251,252,220,1812,221,95,28,631,343,375,559
188,Anolis,punctatus,yes,CTMZ03457,Brazil,Rondonia,Amazonia,Montenegro,-10.2987,-63.2375,Google Earth,254,116,72,502,335,174,161,253,251,261,247,2356,377,21,61,1028,84,346,191
189,Anolis,punctatus,yes,GN71 TM372,Brazil,Mato Grosso,Amazonia,Guaranta do Norte,-9.7307,-54.6064,Google Earth,242,145,68,636,353,142,211,236,239,249,236,2405,373,10,69,1082,45,379,1082
190,Anolis,punctatus,yes,H1907,Brazil,RO,Amazonia,Porto_Velho_Caicara,-9.4459,-64.8247,this_study,262,106,75,559,332,192,140,260,259,269,256,1889,273,29,57,781,102,281,167
191,Anolis,punctatus,yes,H1911,Brazil,Rondonia,Amazonia,Porto Velho: Caicara (right bank),-9.4358,-64.8203,Miguel T. Rodrigues,263,106,76,557,332,193,139,260,260,270,256,1889,273,29,58,782,101,281,166
192,Anolis,punctatus,yes,H2546,Brazil,RO,Amazonia,Porto_Velho_Abuna,-9.5979,-65.3576,this_study,264,106,75,560,334,193,141,262,259,270,257,1667,275,12,63,728,73,413,124
193,Anolis,punctatus,yes,LSUMZH12577,Ecuador,Sucumbios,Amazonia,Reserva_Faunistica_Cuyabeno_Neotropic_Turis,-0.2172,-75.8069,this_study,254,95,86,527,310,200,110,247,258,259,245,2931,338,155,23,944,504,560,910
194,Anolis,punctatus,yes,LSUMZH12751,Ecuador,Sucumbios,Amazonia,Reserva_Faunistica_Cuyabeno_Neotropic_Turis,-0.2172,-75.8069,this_study,254,95,86,527,310,200,110,247,258,259,245,2931,338,155,23,944,504,560,910
195,Anolis,punctatus,yes,LSUMZH13910,Brazil,AC,Amazonia,Porto_Walter_Rio_Jurua,-8.2509,-72.7677,this_study,255,103,75,584,319,183,136,258,247,261,246,2149,308,37,49,822,174,675,247
196,Anolis,punctatus,yes,LSUMZH14100,Brazil,AM,Amazonia,Labrea_Rio_Ituxi_Madeirera_Scheffer,-8.3464,-65.7161,this_study,263,105,78,443,328,194,134,263,258,267,256,2130,320,22,63,917,98,508,123
197,Anolis,punctatus,yes,LSUMZH14336,Brazil,Para,Amazonia,Belterra: Agropecuaria Treviso LTDA,-3.1354,-54.8416,LSU Museum of Natural Science,254,96,79,523,317,196,121,251,260,261,249,1954,342,45,64,895,152,165,795
198,Anolis,punctatus,yes,LSUMZH15476,Brazil,RO,Amazonia,Nova_Mamore_Parque_Estadual_Guajara_Mirim,-10.3167,-64.55,this_study,262,109,74,587,336,190,146,261,257,269,255,1815,280,20,60,787,79,269,150
199,Anolis,punctatus,yes,MPEG20846,Brazil,PA,Amazonia,Juruti,-2.6096,-56.1842,this_study,267,90,81,569,330,219,111,261,274,275,261,2207,331,54,58,973,183,224,915
200,Anolis,punctatus,yes,MPEG21348,Brazil,Rondonia,Amazonia,Guajara Mirim: PN Serra da Cutia,-11.6996,-64.3915,Google Earth,257,118,72,621,339,177,162,258,251,265,249,1593,255,8,65,724,52,364,115
201,Anolis,punctatus,yes,MPEG22415,Brazil,Para,Amazonia,Santa Barbara do Para: PE de Gunma,-1.2169,-48.2948,Museu Paraense Emilio Goeldi,268,88,88,332,322,222,100,265,272,272,263,2333,383,55,59,1074,205,252,1021
202,Anolis,punctatus,yes,MPEG24758,Brazil,PA,Amazonia,Oriximina_Porto_Trombetas_Plato_Bacaba,-1.7731,-56.3706,this_study,266,90,81,611,329,219,110,261,275,275,259,2420,408,60,57,1064,213,213,969
203,Anolis,punctatus,yes,MPEG26102,Brazil,PA,Amazonia,Portel_FLONA_Caxiuana_Plote_PPBIO,-1.9969,-51.6418,this_study,268,97,85,439,329,216,113,264,273,273,262,2250,336,56,56,978,188,196,862
204,Anolis,punctatus,yes,MPEG28489,Brazil,PA,Amazonia,Juruti,-2.5475,-56.2256,this_study,267,90,81,557,330,219,111,261,274,274,261,2223,338,52,58,982,179,224,919
205,Anolis,punctatus,yes,MPEG29314,Brazil,Amazonas,Amazonia,Itacoatiara: Lindoia,-2.9096,-59.0495,Google Earth,271,86,81,429,328,223,105,268,275,277,267,2241,312,86,42,849,276,301,841
206,Anolis,punctatus,yes,MPEG29943,Brazil,Para,Amazonia,Ruropolis,-4.1144,-55.6771,Museu Paraense Emilio Goeldi,273,96,80,488,336,216,120,268,275,279,266,1984,298,67,51,839,209,281,834
207,Anolis,punctatus,yes,MPEG29983,Brazil,Para,Amazonia,Almeirim: Monte Dourado,-0.6287,-52.739,Museu Paraense Emilio Goeldi,265,89,82,582,327,219,108,261,273,273,258,2258,324,52,51,928,184,214,772
208,Anolis,punctatus,yes,MTR18550,Brazil,AM,Amazonia,Beruri_Lago_Chaviana_Itapuru_margem_direita_Rio_Purus,-4.3074,-61.8135,this_study,267,88,83,370,323,218,105,264,267,272,262,2503,325,90,37,857,319,409,854
209,Anolis,punctatus,yes,MTR20798,Brazil,Roraima,Amazonia,Pacaraima,4.4621,-61.1451,Miguel T. Rodrigues,222,114,87,375,290,160,130,218,221,226,216,1830,277,40,51,792,195,489,769
210,Anolis,punctatus,yes,MTR21474,Brazil,Amazonas,Amazonia,Manaus,-2.9979,-59.9494,Google Earth,271,84,81,476,327,224,103,267,277,278,266,2182,288,71,43,820,244,301,801
211,Anolis,punctatus,yes,MTR25584,Brazil,RO,Amazonia,Parque_Nacional_Serra_dos_Pacaas_Novos,-10.7868,-63.6281,this_study,244,118,73,531,325,164,161,243,240,251,237,2099,330,22,63,947,95,304,147
212,Anolis,punctatus,yes,MTR28048,Brazil,AC,Amazonia,Parque_Nacional_da_Serra_do_Divisor,-7.4424,-73.6575,this_study,258,106,77,565,324,187,137,260,251,264,249,2480,323,83,37,861,282,748,375
213,Anolis,punctatus,yes,MTR28401,Brazil,AC,Amazonia,Parque_Nacional_da_Serra_do_Divisor,-7.5016,-73.7214,this_study,258,107,76,606,325,186,139,260,249,263,249,2423,317,81,37,840,277,622,365
214,Anolis,punctatus,yes,MTR28593,Brazil,AC,Amazonia,Fazenda_Experimental_Catuaba,-10.0679,-67.6063,this_study,260,107,74,744,327,183,144,262,254,266,248,1920,282,35,56,816,118,465,182
215,Anolis,punctatus,yes,MTR976723,Brazil,Mato Grosso,Amazonia,Gaucha do Norte,-13.1833,-53.2564,Miguel T. Rodrigues,246,143,70,1065,338,135,203,250,230,254,229,1758,299,3,78,880,23,431,44
216,Anolis,punctatus,yes,MTR978312,Brazil,Mato Grosso,Amazonia,Vila Rica,-9.9,-51.2,Miguel T. Rodrigues,263,129,74,520,348,175,173,265,256,268,255,1821,307,3,73,850,29,456,55
217,Anolis,punctatus,yes,PJD409,Brazil,Para,Amazonia,AHE Jatoba,-5.8174,-57.3956,Museu Paraense Emilio Goeldi,268,103,71,386,340,195,145,263,266,272,263,2136,308,34,53,900,154,288,900
218,Anolis,punctatus,yes,CTMZ03926,Brazil,Alagoas,Atlantic Forest,Campo Alegre,-9.8092,-36.2838,Google Earth,239,79,67,1381,300,183,117,226,252,254,220,1163,198,24,65,561,90,173,471
219,Anolis,punctatus,yes,IBSPCRIB0361,Brazil,Sao Paulo,Atlantic Forest,Bertioga,-23.7564,-46.0247,Google Earth,226,75,52,2301,293,150,143,256,197,256,197,2803,359,103,39,1037,337,1037,337
